date,bitcoin,ethereum,litecoin,xrp
2015-12-11,1599.8234705,3.24438917,13.9694326,0.0250202241
2015-12-12,1732.0479234999998,3.491973105,14.47384155,0.02694159865
2015-12-13,1664.5110305,3.738401905,13.6228921,0.0316583999
2015-12-14,1673.7521105,3.67871993,13.77305965,0.022717655
2015-12-15,1701.8989,3.80732496,13.6690975,0.02233261
2015-12-16,1781.4106925,3.90050585,14.48924335,0.0163644125
2015-12-17,1748.027291,3.810790365,13.97328305,0.02233261
2015-12-18,1753.9954885,3.604406245,14.2928704,0.0215240155
2015-12-19,1783.451431,3.52239166,14.35832805,0.0239690512499999
2015-12-20,1775.82754,3.466560135,14.2620668,0.01925225
2015-12-21,1701.0518009999998,3.47695635,13.5073786,0.01925225
2015-12-22,1684.9184154999998,3.43383131,13.13388495,0.0196680986
2015-12-23,1682.7621634999998,3.338725195,13.0530255,0.0199992373
2015-12-24,1703.5545935,3.27596286,13.68834975,0.0225559361
2015-12-25,1744.176841,3.29136466,13.89627405,0.022640646
2015-12-26,1748.2968225,3.334104655,13.8385173,0.021947565
2015-12-27,1599.3614165,3.277117995,13.09153,0.0235108477
2015-12-28,1626.3915754999998,3.277117995,13.40341645,0.019637295
2015-12-29,1623.965792,3.24130881,13.30330475,0.024180826
2015-12-30,1663.086364,3.34450087,13.49582725,0.02023411475
2015-12-31,1644.7197175,3.4800367100000003,13.30330475,0.0205999074999999
2016-01-01,1655.5009775,3.57937832,13.36491195,0.0227792622
2016-01-02,1671.0567955,3.595935255,13.44962185,0.0197605094
2016-01-03,1670.017174,3.58707922,13.4303696,0.0234954459
2016-01-04,1658.388815,3.733011275,13.34180925,0.0228023649
2016-01-05,1668.476994,3.66408822,13.4303696,0.0229563829
2016-01-06,1660.31404,3.65946768,13.31870655,0.01925225
2016-01-07,1658.850869,3.677564795,13.27250115,0.01925225
2016-01-08,1759.8481725,3.655232185,13.8077137,0.01925225
2016-01-09,1743.7532915,3.79423343,13.7153029,0.02240576855
2016-01-10,1726.1952395,3.792308205,13.62674255,0.022871673
2016-01-11,1718.0322855,3.827732345,13.57283625,0.02279851445
2016-01-12,1723.9234740000002,4.023720249999999,13.6690975,0.0226175432999999
2016-01-13,1713.604268,4.43186795,13.5612849,0.0223788154
2016-01-14,1664.087481,4.35485895,13.399566,0.0194447725
2016-01-15,1652.3436084999998,4.47807335,13.29560385,0.0184436555
2016-01-16,1433.368517,4.68599765,12.0981139,0.0197682103
2016-01-17,1482.577268,4.68599765,11.78622745,0.0188364013999999
2016-01-18,1472.6816115,5.03253815,11.628359,0.0202918715
2016-01-19,1480.11298,5.37907865,11.68611575,0.0196757995
2016-01-20,1461.091757,5.25586425,11.6129572,0.02019561025
2016-01-21,1596.319561,5.87963715,12.94906335,0.02091949485
2016-01-22,1579.608608,5.9835993,12.3830472,0.02018020845
2016-01-23,1473.3746924999998,5.7294696,11.87093735,0.02014170395
2016-01-24,1496.3233745,7.754806299999999,11.9748995,0.019714304
2016-01-25,1548.3814585,8.1552531,12.209776949999998,0.0197220049
2016-01-26,1512.302742,9.5106115,12.0211049,0.019637295
2016-01-27,1500.8284009999998,8.36702785,12.06345985,0.0217665938499999
2016-01-28,1521.004759,9.26803315,12.6217751,0.02507027995
2016-01-29,1461.9773605,9.6954331,11.8670869,0.02231335775
2016-01-30,1464.2876305,9.57606915,11.9440959,0.0266451139999999
2016-01-31,1454.5459919999998,9.3488926,11.7900779,0.0243733485
2016-02-01,1424.0504279999998,9.02930525,11.7977788,0.0236956693
2016-02-02,1433.060481,8.54414855,11.80933015,0.0257864636499999
