"date","open","high","low","value","volume","date_fmt","interval"
"2015-09-18","3.4088033849999997","3.4361415799999997","3.1793165649999997","3.273267545","1734247.0310085","2015-09-18","histoday"
"2015-09-19","3.273267545","3.53086265","3.193948275","3.41996969","1428407.6357244998","2015-09-19","histoday"
"2015-09-20","3.41996969","3.64021543","3.35528213","3.620578135","1815294.2289505","2015-09-20","histoday"
"2015-09-21","3.620578135","3.64791633","3.3629830299999997","3.472720855","1548555.575849","2015-09-21","histoday"
"2015-09-22","3.472720855","3.619808045","3.23360791","3.4511583349999997","1723692.061955","2015-09-22","histoday"
"2015-09-23","3.4511583349999997","3.490432925","3.3814651899999997","3.44615275","742181.9769045","2015-09-23","histoday"
"2015-09-24","3.44615275","3.5597410249999997","2.744215715","3.1350363900000002","2962832.175587","2015-09-24","histoday"
"2015-09-25","3.1350363900000002","3.1962585449999996","2.5393717749999998","2.85241336","3227762.4263415","2015-09-25","histoday"
"2015-09-26","2.85241336","3.03569478","2.685688875","2.99950055","1407711.1974429998","2015-09-26","histoday"
"2015-09-27","2.99950055","3.03569478","2.745755895","2.779639855","1513840.688739","2015-09-27","histoday"
"2015-09-28","2.779639855","2.879751555","2.12005777","2.263679555","4538355.22511","2015-09-28","histoday"
"2015-09-29","2.31027","2.62446672","1.925225","2.62446672","44629.5263285","2015-09-29","histoday"
"2015-09-30","2.5439923149999997","2.909785065","2.409996655","2.763467965","2299837.128716","2015-09-30","histoday"
"2015-10-01","2.763467965","2.8631946200000002","2.3741874700000003","2.6252368099999996","2189938.81696","2015-10-01","histoday"
"2015-10-02","2.6252368099999996","2.66682167","2.49201124","2.6021341099999997","770506.387663","2015-10-02","histoday"
"2015-10-03","2.6021341099999997","2.74691103","2.597128525","2.64371897","603202.6024605","2015-10-03","histoday"
"2015-10-04","2.64371897","2.67760293","2.54206709","2.564784745","392294.242215","2015-10-04","histoday"
"2015-10-05","2.564784745","2.650264735","2.383043505","2.420777915","802049.197054","2015-10-05","histoday"
"2015-10-06","2.420777915","2.5362914149999995","2.31643072","2.523969975","973678.6932999999","2015-10-06","histoday"
"2015-10-07","2.523969975","2.53744655","2.292942975","2.35493522","751830.2034875","2015-10-07","histoday"
