"date","open","high","low","value","volume","date_fmt","interval"
"2015-09-18","896.076724","903.6621104999999","887.836761","894.1129945","47737309.156391","2015-09-18","histoday"
"2015-09-19","894.1129945","898.5025075","886.4120945","889.8774995","30819400.783629","2015-09-19","histoday"
"2015-09-20","889.8774995","895.8842014999999","885.3339685","889.8004905","29559403.629446","2015-09-20","histoday"
"2015-09-21","889.8004905","891.8797334999999","866.3512499999999","871.4723485000001","46898631.9761445","2015-09-21","histoday"
"2015-09-22","871.4723485000001","898.0789580000001","862.7703315","885.6420045","63108958.6312155","2015-09-22","histoday"
"2015-09-23","885.6420045","894.07449","879.827825","885.1799504999999","38752039.500807","2015-09-23","histoday"
"2015-09-24","885.1799504999999","908.090128","883.9478065","900.081192","64678490.650070004","2015-09-24","histoday"
"2015-09-25","900.081192","914.7899110000001","895.9997149999999","904.9712635","55873833.128528","2015-09-25","histoday"
"2015-09-26","904.9712635","907.5895695","896.153733","902.160435","36386159.838736","2015-09-26","histoday"
"2015-09-27","902.160435","903.8931375","892.688328","895.2296249999999","32458533.151638497","2015-09-27","histoday"
"2015-09-28","895.2296249999999","925.6096755","894.7290665","919.7569915","58845536.5483925","2015-09-28","histoday"
"2015-09-29","919.7569915","925.6096755","904.0856600000001","911.4400195000001","52511072.115475","2015-09-29","histoday"
"2015-09-30","911.4400195000001","915.7525235","902.5069755","908.4366685","46000805.954205","2015-09-30","histoday"
"2015-10-01","908.4366685","918.948397","903.700615","912.7491725","48263399.4127735","2015-10-01","histoday"
"2015-10-02","912.7491725","918.1398025","905.3948129999999","911.4400195000001","43812120.805260494","2015-10-02","histoday"
"2015-10-03","911.4400195000001","922.259784","908.9757314999999","918.640361","39808955.4895045","2015-10-03","histoday"
"2015-10-04","918.640361","1068.8079109999999","914.5203795","917.6777485","29334384.833121497","2015-10-04","histoday"
"2015-10-05","917.6777485","926.1487385","910.2848845","924.6855675","56339510.5174915","2015-10-05","histoday"
"2015-10-06","924.6855675","953.4099245","921.643712","947.7497629999999","74091092.2182025","2015-10-06","histoday"
"2015-10-07","947.7497629999999","952.139276","930.4612425","935.5823409999999","59155012.1546385","2015-10-07","histoday"
"2015-10-08","935.5823409999999","942.5516554999999","930.1532065","934.0421610000001","41439807.5803025","2015-10-08","histoday"
"2015-10-09","934.0421610000001","941.666052","929.267603","939.663818","38110655.720633","2015-10-09","histoday"
"2015-10-10","939.663818","946.9411685","935.2358005","944.7079074999999","36760726.532142","2015-10-10","histoday"
"2015-10-11","944.7079074999999","955.9127169999999","941.3195115","953.5639425","39399554.506533995","2015-10-11","histoday"
"2015-10-12","953.5639425","954.988609","942.0125925","944.7079074999999","38356927.9228315","2015-10-12","histoday"
"2015-10-13","944.7079074999999","967.1945355","936.0828995","957.914951","71438581.169177","2015-10-13","histoday"
"2015-10-14","957.914951","982.095777","955.989726","971.5840485","67426603.5210285","2015-10-14","histoday"
"2015-10-15","971.5840485","988.641542","967.1175264999999","979.708498","59547301.044727996","2015-10-15","histoday"
"2015-10-16","979.708498","1029.1097714999999","977.7447685","1012.1677915","95822926.0538185","2015-10-16","histoday"
"2015-10-17","1012.1677915","1060.4524345","1007.816783","1038.004311","118268290.667889","2015-10-17","histoday"
"2015-10-18","1038.004311","1049.016598","999.3072884999999","1007.5472515","53603014.4156785","2015-10-18","histoday"
"2015-10-19","1007.5472515","1024.0271774999999","1000.6934504999999","1015.8257189999999","59114692.282977","2015-10-19","histoday"
"2015-10-20","1015.8257189999999","1047.784454","1011.513215","1038.6588875","77780458.218903","2015-10-20","histoday"
"2015-10-21","1038.6588875","1047.9769765","1014.747593","1028.4936995","61634064.974695","2015-10-21","histoday"
"2015-10-22","1028.4936995","1073.274433","1027.30006","1056.6404890000001","98116714.780161","2015-10-22","histoday"
"2015-10-23","1056.6404890000001","1077.2403964999999","1051.8274265","1066.2666140000001","74012665.983071","2015-10-23","histoday"
"2015-10-24","1066.2666140000001","1089.8698725","1066.6131544999998","1087.983152","64978755.941411495","2015-10-24","histoday"
"2015-10-25","1087.983152","1138.039002","1084.8642875","1108.390537","126857581.20060799","2015-10-25","histoday"
"2015-10-26","1108.390537","1107.466429","1076.662829","1097.9558175","80066449.0139055","2015-10-26","histoday"
"2015-10-27","1097.9558175","1149.0897935","1097.7247905","1134.573597","119379113.84219","2015-10-27","histoday"
